City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,San Bartolome De Tirajana,ES,27.92,-15.57,73.0,78,20,26.4,few clouds,0,0
1,Japura,ID,-0.32,102.35,73.87,97,93,2.98,moderate rain,0,0
2,Lagoa,PT,39.05,-27.98,68.65,79,0,16.28,clear sky,0,0
3,Upernavik,GL,72.79,-56.15,41.86,84,97,9.89,overcast clouds,0,0
4,Hithadhoo,MV,-0.6,73.08,85.19,70,86,9.15,overcast clouds,0,0
5,Cockburn Town,TC,21.46,-71.14,86.0,62,40,13.87,scattered clouds,0,0
6,Yar-Sale,RU,66.83,70.83,52.92,93,100,13.56,light rain,0,0
7,Gwembe,ZM,-16.5,27.61,57.99,35,0,6.58,clear sky,0,0
8,Igrim,RU,63.19,64.42,58.37,86,27,9.06,scattered clouds,0,0
9,Cape Town,ZA,-33.93,18.42,57.99,76,75,29.97,light rain,0,0
10,Wamba,NG,8.93,8.6,73.74,90,98,1.79,overcast clouds,0,0
11,Dikson,RU,73.51,80.55,42.13,97,99,6.55,overcast clouds,0,0
12,Mchinji,MW,-13.8,32.88,55.76,63,13,4.54,few clouds,0,0
13,Viedma,AR,-40.81,-63.0,42.08,62,0,14.58,clear sky,0,0
14,Satwas,IN,22.53,76.68,80.78,76,95,9.17,overcast clouds,0,0
15,Daman,IN,20.42,72.85,81.79,82,90,11.43,light rain,0,0
16,Gat,IL,31.61,34.76,75.99,71,0,2.8,clear sky,0,0
17,Ilulissat,GL,69.22,-51.1,48.2,70,33,4.7,scattered clouds,0,0
18,Luderitz,NA,-26.65,15.16,53.6,93,3,1.12,clear sky,0,0
19,Kursk,RU,51.73,36.19,65.52,67,0,3.76,clear sky,0,0
20,Antalaha,MG,-14.9,50.28,68.83,88,29,7.76,light rain,0,0
21,Banda Aceh,ID,5.56,95.32,78.98,72,100,3.6,overcast clouds,0,0
22,La Asuncion,VE,11.03,-63.86,89.6,59,0,4.7,clear sky,0,0
23,Jamestown,US,42.1,-79.24,73.99,73,1,10.29,clear sky,0,0
24,Lahij,YE,13.17,44.58,89.2,52,71,6.26,broken clouds,0,0
25,Mao,ES,39.89,4.27,73.4,49,40,4.7,scattered clouds,0,0
26,Punta Arenas,CL,-53.15,-70.92,37.4,74,75,21.92,broken clouds,0,0
27,Longyearbyen,SJ,78.22,15.64,46.4,75,75,1.12,broken clouds,0,0
28,Nanortalik,GL,60.14,-45.24,47.12,88,100,9.73,light rain,0,0
29,Mitsamiouli,KM,-11.38,43.28,77.36,72,0,3.62,clear sky,0,0
30,Shubarshi,KZ,48.59,57.19,85.12,35,52,3.62,broken clouds,0,0
31,Maraba,BR,-5.37,-49.12,91.4,46,20,4.7,few clouds,0,0
32,Gorlice,PL,49.66,21.16,55.0,100,0,3.85,clear sky,0,0
33,Saint-Philippe,RE,-21.36,55.77,64.4,72,31,3.36,light rain,0,0
34,Siderno,IT,38.28,16.3,78.8,83,20,5.82,few clouds,0,0
35,Ushuaia,AR,-54.8,-68.3,35.6,93,40,18.34,scattered clouds,0,0
36,Husavik,IS,66.04,-17.34,53.6,87,90,5.82,light rain,0,0
37,Bredasdorp,ZA,-34.53,20.04,50.0,61,0,4.7,clear sky,0,0
38,Chuy,UY,-33.7,-53.46,47.34,70,32,10.38,scattered clouds,0,0
39,Paamiut,GL,61.99,-49.67,44.37,82,100,5.39,overcast clouds,0,0
