City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Hithadhoo,MV,85.19,overcast clouds,-0.6,73.08,Scoop Guest House
5,Cockburn Town,TC,86.0,scattered clouds,21.46,-71.14,Osprey Beach Hotel
14,Satwas,IN,80.78,overcast clouds,22.53,76.68,मां नर्मदा स्टाम्प रजिस्ट्री कार्यालय
15,Daman,IN,81.79,light rain,20.42,72.85,Silver Sands Beach Resort
16,Gat,IL,75.99,clear sky,31.61,34.76,רגע בנחת
21,Banda Aceh,ID,78.98,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
22,La Asuncion,VE,89.6,clear sky,11.03,-63.86,Colinas de Matasiete
24,Lahij,YE,89.2,broken clouds,13.17,44.58,
29,Mitsamiouli,KM,77.36,clear sky,-11.38,43.28,Foyer ADM
30,Shubarshi,KZ,85.12,broken clouds,48.59,57.19,
34,Siderno,IT,78.8,few clouds,38.28,16.3,Grand Hotel President
40,Acton Vale,CA,82.0,light rain,45.65,-72.57,Motel le Valois
41,Arraial Do Cabo,BR,77.0,broken clouds,-22.97,-42.03,Pousada Porto Praia
45,Sinnamary,GF,78.51,light rain,5.38,-52.95,ALETHEIA Appartement Sinnamary
51,Dubovskoye,RU,77.13,broken clouds,47.41,42.76,Anzhi
54,Kralendijk,BQ,84.2,scattered clouds,12.15,-68.27,Divi Flamingo Beach Resort & Casino
56,Pedernales,DO,89.6,scattered clouds,18.04,-71.74,Hotel Costa Marina
58,Colares,PT,77.0,clear sky,38.8,-9.45,Arribas Sintra Hotel
59,The Valley,AI,87.8,haze,18.22,-63.06,CeBlue Villas & Beach Resort
63,Kavaratti,IN,82.17,moderate rain,10.57,72.64,Bismillah Hotel And Lodging
64,Porto Walter,BR,85.23,broken clouds,-8.27,-72.74,Hotel Silva
68,Havelock,US,87.8,broken clouds,34.88,-76.9,Sherwood Motel
69,Fethiye,TR,75.2,clear sky,36.62,29.12,Club & Hotel Letoonia
