City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ayorou,NE,2020-07-09 23:03:39,14.73,0.92,93.63,35,93,7.09
1,Dikson,RU,2020-07-09 22:59:48,73.51,80.55,42.46,84,0,13.71
2,Punta Arenas,CL,2020-07-09 23:03:39,-53.15,-70.92,33.8,86,92,21.92
3,Vardo,NO,2020-07-09 23:02:27,70.37,31.11,47.97,90,100,17.6
4,Grand Gaube,MU,2020-07-09 23:03:40,-20.01,57.66,70.0,77,26,8.01
5,Port Alfred,ZA,2020-07-09 23:03:40,-33.59,26.89,59.0,87,28,1.99
6,East London,ZA,2020-07-09 23:01:19,-33.02,27.91,67.55,52,10,2.04
7,Mugur-Aksy,RU,2020-07-09 23:03:40,50.35,90.5,49.39,70,18,2.93
8,Clarence Town,AU,2020-07-09 23:03:40,-32.58,151.78,57.99,100,75,9.17
9,Hermanus,ZA,2020-07-09 23:03:41,-34.42,19.23,52.0,88,100,14.61
10,Carnarvon,AU,2020-07-09 23:01:52,-24.87,113.63,55.4,47,89,10.29
11,San Andres,CO,2020-07-09 23:03:41,12.58,-81.7,84.2,79,75,4.7
12,Upernavik,GL,2020-07-09 23:03:41,72.79,-56.15,43.47,76,100,4.99
13,Goma,CD,2020-07-09 23:03:41,-1.68,29.22,64.09,63,3,2.93
14,Ushuaia,AR,2020-07-09 23:00:11,-54.8,-68.3,37.4,64,75,16.11
15,Lebu,CL,2020-07-09 22:59:31,-37.62,-73.65,53.91,93,100,23.44
16,Hambantota,LK,2020-07-09 23:02:53,6.12,81.12,80.19,79,76,14.18
17,Tasiilaq,GL,2020-07-09 23:03:42,65.61,-37.64,44.6,65,100,14.99
18,Benghazi,LY,2020-07-09 23:03:42,32.12,20.07,76.5,76,0,16.93
19,Puerto Ayacucho,VE,2020-07-09 23:03:42,5.66,-67.62,91.4,49,20,6.93
20,Port Elizabeth,ZA,2020-07-09 23:00:05,-33.92,25.57,59.0,82,56,8.05
21,Kindu,CD,2020-07-09 23:03:43,-2.95,25.95,74.89,63,63,0.6
22,Sinjar,IQ,2020-07-09 23:03:43,36.32,41.88,86.61,20,0,14.61
23,Bandipur,NP,2020-07-09 23:03:43,27.93,84.42,69.15,100,100,1.43
24,Saint-Philippe,RE,2020-07-09 23:03:43,-21.36,55.77,68.0,82,75,16.11
25,Ponnampet,IN,2020-07-09 23:03:44,12.15,75.93,75.2,94,75,1.12
26,Chuy,UY,2020-07-09 23:02:03,-33.7,-53.46,45.73,80,6,8.99
27,Santa Maria,BR,2020-07-09 23:03:44,-29.68,-53.81,48.2,87,2,3.36
28,Cape Town,ZA,2020-07-09 23:02:56,-33.93,18.42,53.01,87,75,10.29
29,Estelle,US,2020-07-09 23:03:44,29.85,-90.11,96.01,75,40,9.17
30,Praia,CV,2020-07-09 23:00:32,14.92,-23.51,78.8,74,75,10.29
31,Qaanaaq,GL,2020-07-09 22:59:36,77.48,-69.36,46.81,55,99,1.05
32,Lixourion,GR,2020-07-09 23:03:45,38.2,20.43,74.7,74,0,2.86
33,Kahama,TZ,2020-07-09 23:03:45,-3.83,32.6,64.18,70,6,4.85
34,Porto Novo,BJ,2020-07-09 23:03:45,6.5,2.6,76.24,85,100,6.73
35,Barka Kana,IN,2020-07-09 23:03:45,23.62,85.48,79.14,79,100,7.99
36,Hashtrud,IR,2020-07-09 23:03:46,37.48,47.05,66.02,59,21,5.17
37,Teseney,ER,2020-07-09 23:03:46,15.11,36.66,79.3,59,100,7.99
38,Hamilton,US,2020-07-09 23:00:35,39.18,-84.53,87.01,74,1,2.62
39,Longyearbyen,SJ,2020-07-09 23:00:58,78.22,15.64,44.6,87,75,8.05
40,Busselton,AU,2020-07-09 23:03:47,-33.65,115.33,36.0,87,0,7.0
41,Arlit,NE,2020-07-09 23:03:47,18.74,7.39,95.09,22,73,4.47
42,Clyde River,CA,2020-07-09 23:03:47,70.47,-68.59,41.0,93,75,8.05
43,Khuzdar,PK,2020-07-09 23:03:47,27.74,66.64,79.03,65,40,5.55
44,Torbay,CA,2020-07-09 23:03:47,47.67,-52.73,57.0,76,90,10.29
45,Saint-Augustin,CA,2020-07-09 23:01:41,51.23,-58.65,56.46,94,100,12.39
46,Ilulissat,GL,2020-07-09 23:03:48,69.22,-51.1,46.4,87,75,3.36
47,Ouadda,CF,2020-07-09 22:58:50,8.08,22.4,68.7,94,100,1.99
48,Bredasdorp,ZA,2020-07-09 23:03:48,-34.53,20.04,53.6,81,100,10.29
49,Matongo,TZ,2020-07-09 23:03:48,-2.38,34.08,66.52,64,15,2.01
50,Vila Franca Do Campo,PT,2020-07-09 23:03:48,37.72,-25.43,68.0,72,75,8.05
51,Okrika,NG,2020-07-09 23:03:49,4.74,7.08,75.79,88,100,5.21
